Date,Value
2020-03-01,49.6798861567
2020-02-29,47.2397000915
2020-02-28,48.4139173509
2020-02-27,47.3653840567
2020-02-26,51.4271682588
2020-02-25,52.8378339912
2020-02-24,61.9243915821
2020-02-23,59.2635612496
2020-02-22,55.798627688
2020-02-21,48.5376591753
2020-02-20,54.1880822451
2020-02-19,57.2139873633
2020-02-18,56.7259918641
2020-02-17,60.9148465058
2020-02-16,56.6897318162
2020-02-15,54.8436204448
2020-02-14,54.3229361298
2020-02-13,54.4473644095
2020-02-12,51.2150334009
2020-02-11,51.597641019
2020-02-10,61.9374694396
2020-02-09,53.9642782932
2020-02-08,51.6415384786
2020-02-07,52.3365386658
2020-02-06,51.23221549
2020-02-05,49.8561284752
2020-02-04,52.7688716863
2020-02-03,58.2518215268
2020-02-02,58.7973400795
2020-02-01,50.9536765522
2020-01-31,55.8945940439
2020-01-30,55.4599640721
2020-01-29,47.7648977463
2020-01-28,50.9483378688
2020-01-27,58.099238335
2020-01-26,60.0392153121
2020-01-25,51.7239595987
2020-01-24,51.588700746
2020-01-23,51.9998545817
2020-01-22,53.0070246547
2020-01-21,50.0569227523
2020-01-20,58.8519214216
2020-01-19,51.6448962914
2020-01-18,54.8876145709
2020-01-17,53.6227320285
2020-01-16,50.4804035221
2020-01-15,45.3896676882
2020-01-14,50.1834040864
2020-01-13,54.7886892999
2020-01-12,54.5283533905
2020-01-11,45.0900867653
2020-01-10,48.843030002
2020-01-09,46.822600928
2020-01-08,51.2854004552
2020-01-07,42.744116622
2020-01-06,53.4236766613
2020-01-05,53.9107284379
2020-01-04,49.5736805977
2020-01-03,42.5491723476
2020-01-02,63.136595339
2020-01-01,44.8222139607
2019-12-31,47.126141931
2019-12-30,51.1481969014
2019-12-29,45.9245650612
2019-12-28,40.891985522
2019-12-27,52.344778398
2019-12-26,47.5542588115
2019-12-25,39.6845842406
2019-12-24,45.1174690089
2019-12-23,54.5694416817
2019-12-22,50.9285393912
2019-12-21,42.459303299
2019-12-20,44.5246170459
2019-12-19,36.705163679
2019-12-18,37.9692469134
2019-12-17,43.0995486846
2019-12-16,42.2335470675
2019-12-15,46.1470631003
2019-12-14,43.1491637824
2019-12-13,38.7312182764
2019-12-12,41.4149413314
2019-12-11,42.6369854323
2019-12-10,44.5458869125
2019-12-09,50.0963245901
2019-12-08,53.4140536308
2019-12-07,43.1343234864
2019-12-06,43.1867460517
2019-12-05,45.7717257668
2019-12-04,43.4983659264
2019-12-03,42.7224657847
2019-12-02,47.0675089389
2019-12-01,44.2660891745
2019-11-30,43.4639536571
2019-11-29,50.7822655372
2019-11-28,40.4568918848
2019-11-27,34.7550669694
2019-11-26,39.3016544807
2019-11-25,44.2566521666
2019-11-24,51.6732027042
2019-11-23,39.7198346975
2019-11-22,42.3386065467
2019-11-21,45.4020079765
2019-11-20,46.6587908046
2019-11-19,49.1132451681
2019-11-18,62.7245046678
2019-11-17,55.9653266122
2019-11-16,52.9858581575
2019-11-15,52.8362276962
2019-11-14,47.2420634605
2019-11-13,49.7348295591
2019-11-12,51.6711387049
2019-11-11,62.5177134399
2019-11-10,52.6231014729
2019-11-09,47.4003359782
2019-11-08,49.2190917838
2019-11-07,50.1096607333
2019-11-06,52.3194888281
2019-11-05,51.1410223206
2019-11-04,55.6179189679
2019-11-03,56.231387852
2019-11-02,48.3729391425
2019-11-01,52.625660115
2019-10-31,49.8983567957
2019-10-30,51.6559195515
2019-10-29,52.4996292841
2019-10-28,54.1633461897
2019-10-27,54.8506745247
2019-10-26,42.3285572909
2019-10-25,41.4496876158
2019-10-24,48.5485454719
2019-10-23,51.2399501979
2019-10-22,46.8686739347
2019-10-21,51.4650747772
2019-10-20,46.9692240058
2019-10-19,48.0213891675
2019-10-18,46.2402548337
2019-10-17,43.2339749883
2019-10-16,47.4181091791
2019-10-15,47.3402249495
2019-10-14,53.5597112187
2019-10-13,46.4748599476
2019-10-12,48.4883278411
2019-10-11,51.3384400166
2019-10-10,47.0227841059
2019-10-09,50.020110852
2019-10-08,47.8824281167
2019-10-07,53.2545312983
2019-10-06,49.6996124011
2019-10-05,45.0705446265
2019-10-04,47.3077938685
2019-10-03,48.0947311369
2019-10-02,45.5094392434
2019-10-01,43.1497755862
2019-09-30,48.815277777
2019-09-29,52.1545880071
2019-09-28,44.4266876288
2019-09-27,50.3094499446
2019-09-26,48.798516448
2019-09-25,53.0872769256
2019-09-24,50.5345401792
2019-09-23,66.3300828378
2019-09-22,62.735513557
2019-09-21,57.3134687454
2019-09-20,54.1653606781
2019-09-19,62.0440781613
2019-09-18,56.032449328
2019-09-17,61.2148218158
2019-09-16,70.3762745166
2019-09-15,67.6138437141
2019-09-14,63.6000008241
2019-09-13,60.9803251938
2019-09-12,70.6489862167
2019-09-11,69.6237820518
2019-09-10,60.4710385004
2019-09-09,81.9251101978
2019-09-08,62.7413380689
2019-09-07,58.7219349244
2019-09-06,63.6577647816
2019-09-05,56.5856908669
2019-09-04,59.4311303489
2019-09-03,57.7612977607
2019-09-02,60.9054401216
2019-09-01,58.942276181
2019-08-31,55.4237206728
2019-08-30,57.3372246189
2019-08-29,56.5215223792
2019-08-28,53.8132363935
2019-08-27,56.7269683885
2019-08-26,69.165935691
2019-08-25,68.0375927744
2019-08-24,58.7541935094
2019-08-23,56.5812280925
2019-08-22,57.8585943875
2019-08-21,63.4093231777
2019-08-20,66.2656115572
2019-08-19,59.6939677632
2019-08-18,58.346599483
2019-08-17,59.7138183628
2019-08-16,56.4658066589
2019-08-15,56.9411942998
2019-08-14,61.4203274822
2019-08-13,66.0676369993
2019-08-12,80.9888479954
2019-08-11,73.2757970594
2019-08-10,66.0566787285
2019-08-09,65.3523665789
2019-08-08,62.8462692219
2019-08-07,65.8068474888
2019-08-06,63.1067782084
2019-08-05,76.6382405544
2019-08-04,72.5873514029
2019-08-03,64.7035349742
2019-08-02,54.4208451984
2019-08-01,59.9883464893
2019-07-31,53.4797452401
2019-07-30,62.0451605645
2019-07-29,76.9097013161
2019-07-28,66.3434198319
2019-07-27,64.9097906247
2019-07-26,57.4308811583
2019-07-25,58.6820111799
2019-07-24,57.8716147694
2019-07-23,66.3459219432
2019-07-22,70.8051791693
2019-07-21,74.5069287647
2019-07-20,54.0467694962
2019-07-19,50.4623113425
2019-07-18,50.7894975697
2019-07-17,60.2185118835
2019-07-16,56.2523417514
2019-07-15,66.5472246742
2019-07-14,67.6741040903
2019-07-13,67.68427269
2019-07-12,60.4701923318
2019-07-11,68.1388206315
2019-07-10,69.1673055847
2019-07-09,71.5060014146
2019-07-08,70.7848479653
2019-07-07,74.6001189119
2019-07-06,71.6928640594
2019-07-05,69.0803671562
2019-07-04,64.3355567819
2019-07-03,57.9382290759
2019-07-02,60.8858357963
2019-07-01,70.0570831384
2019-06-30,76.3890180667
2019-06-29,63.7133801705
2019-06-28,64.6004942886
2019-06-27,71.5731340688
2019-06-26,60.9120469564
2019-06-25,65.4834928938
2019-06-24,66.5162485015
2019-06-23,57.1239955615
2019-06-22,51.9282169339
2019-06-21,54.2462032122
2019-06-20,52.9126999593
2019-06-19,50.0432326306
2019-06-18,51.3471327042
2019-06-17,52.4325655085
2019-06-16,50.1857814054
2019-06-15,51.3515561331
2019-06-14,44.7650651546
2019-06-13,42.7479218067
2019-06-12,44.0144173026
2019-06-11,45.5573724249
2019-06-10,49.066414412
2019-06-09,43.762327968
2019-06-08,47.086765491
2019-06-07,44.8360139983
2019-06-06,44.9772261026
2019-06-05,44.8260164967
2019-06-04,48.9059108008
2019-06-03,51.1652144495
2019-06-02,52.6973440587
2019-06-01,46.5837629575
2019-05-31,50.2153455036
2019-05-30,50.4708034583
2019-05-29,50.2221496823
2019-05-28,50.1813215355
2019-05-27,46.8643409346
2019-05-26,44.6669458289
2019-05-25,45.0224517543
2019-05-24,42.3005448955
2019-05-23,45.3394913915
2019-05-22,44.1811915147
2019-05-21,45.6289717192
2019-05-20,49.3830406152
